epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,2325.47,1.22717,0.72988,1.19866,0.88409,0.88137,0.92877,0.56944,1.2809,0.62705,1.18645,8.0695e-05,8.0695e-05,8.0695e-05
41,2380.76,1.23124,0.7317,1.19684,0.90624,0.85289,0.92345,0.58116,1.27309,0.62696,1.17617,8.02e-05,8.02e-05,8.02e-05
42,2434.94,1.2323,0.72382,1.19815,0.87051,0.86863,0.91416,0.57632,1.26855,0.6496,1.16835,7.9705e-05,7.9705e-05,7.9705e-05
43,2491.17,1.21385,0.71243,1.18578,0.9019,0.87647,0.93384,0.57798,1.27501,0.62648,1.18211,7.921e-05,7.921e-05,7.921e-05
44,2547.05,1.21292,0.71532,1.18771,0.8912,0.87532,0.93064,0.59078,1.24716,0.61765,1.17267,7.8715e-05,7.8715e-05,7.8715e-05
45,2602.96,1.21187,0.71428,1.18952,0.8989,0.87157,0.93319,0.57561,1.27252,0.61106,1.18373,7.822e-05,7.822e-05,7.822e-05
46,2659.03,1.21143,0.70189,1.18287,0.90096,0.85616,0.93264,0.58981,1.23081,0.59486,1.15642,7.7725e-05,7.7725e-05,7.7725e-05
47,2715.82,1.21505,0.70711,1.18533,0.91397,0.86275,0.9351,0.58814,1.24385,0.60362,1.16602,7.723e-05,7.723e-05,7.723e-05
48,2772.34,1.19465,0.70243,1.18281,0.92071,0.87663,0.9421,0.59273,1.23617,0.59518,1.15147,7.6735e-05,7.6735e-05,7.6735e-05
49,2827.72,1.19329,0.69813,1.17713,0.92274,0.88333,0.94528,0.60113,1.21619,0.58926,1.15026,7.624e-05,7.624e-05,7.624e-05
50,2882.63,1.19473,0.69575,1.17827,0.90083,0.87255,0.93612,0.59912,1.23131,0.59812,1.15503,7.5745e-05,7.5745e-05,7.5745e-05
51,2938.28,1.18094,0.68616,1.17019,0.91043,0.88687,0.94172,0.5903,1.25485,0.59408,1.16191,7.525e-05,7.525e-05,7.525e-05
52,2994.22,1.19982,0.68465,1.17276,0.93724,0.86387,0.94206,0.59757,1.23816,0.59053,1.15623,7.4755e-05,7.4755e-05,7.4755e-05
53,3050.7,1.19318,0.68924,1.17559,0.92362,0.88039,0.94062,0.59702,1.23244,0.58456,1.15858,7.426e-05,7.426e-05,7.426e-05
54,3107.15,1.18035,0.67174,1.16893,0.91645,0.88039,0.94161,0.60441,1.20653,0.5735,1.14363,7.3765e-05,7.3765e-05,7.3765e-05
55,3163.34,1.17938,0.67664,1.16478,0.92577,0.8804,0.94112,0.60197,1.20537,0.57877,1.15029,7.327e-05,7.327e-05,7.327e-05
56,3219.28,1.1677,0.66168,1.16014,0.92264,0.88864,0.94344,0.60591,1.20804,0.57314,1.14194,7.2775e-05,7.2775e-05,7.2775e-05
57,3276.49,1.17549,0.66866,1.17009,0.91173,0.88096,0.94162,0.58848,1.24264,0.58944,1.16474,7.228e-05,7.228e-05,7.228e-05
58,3333.19,1.16558,0.66042,1.16418,0.93174,0.87941,0.94169,0.59601,1.23245,0.5769,1.15441,7.1785e-05,7.1785e-05,7.1785e-05
59,3389.56,1.16867,0.66245,1.16258,0.91398,0.89118,0.94531,0.60723,1.19782,0.57374,1.14606,7.129e-05,7.129e-05,7.129e-05
60,3446.66,1.16384,0.65938,1.15871,0.93126,0.88995,0.94529,0.60188,1.21378,0.56606,1.14601,7.0795e-05,7.0795e-05,7.0795e-05
61,3502.17,1.15894,0.65735,1.15398,0.93782,0.89314,0.94508,0.60669,1.22094,0.55575,1.1454,7.03e-05,7.03e-05,7.03e-05
62,3557.92,1.16534,0.64988,1.15149,0.93362,0.88824,0.94515,0.59959,1.21749,0.56638,1.14457,6.9805e-05,6.9805e-05,6.9805e-05
63,3612.54,1.15047,0.64238,1.15093,0.93337,0.87898,0.93776,0.59639,1.22716,0.57534,1.1486,6.931e-05,6.931e-05,6.931e-05
64,3668.05,1.15141,0.64223,1.15022,0.93002,0.88627,0.94433,0.61916,1.19521,0.55395,1.136,6.8815e-05,6.8815e-05,6.8815e-05
65,3724.52,1.15396,0.64666,1.14869,0.93809,0.89412,0.94754,0.60133,1.22088,0.56863,1.14406,6.832e-05,6.832e-05,6.832e-05
66,3781.72,1.13113,0.63612,1.13975,0.92013,0.89608,0.94999,0.62331,1.1758,0.54603,1.12804,6.7825e-05,6.7825e-05,6.7825e-05
67,3838,1.14186,0.63795,1.14634,0.92514,0.8902,0.94793,0.61017,1.19789,0.55553,1.13483,6.733e-05,6.733e-05,6.733e-05
68,3893.61,1.12952,0.63463,1.13963,0.92366,0.88967,0.94783,0.6131,1.19002,0.55123,1.135,6.6835e-05,6.6835e-05,6.6835e-05
69,3950.95,1.14611,0.63818,1.14623,0.92161,0.88756,0.94362,0.60633,1.20525,0.55666,1.13848,6.634e-05,6.634e-05,6.634e-05
70,4005.25,1.1424,0.63404,1.1387,0.93396,0.90294,0.95357,0.62411,1.18827,0.53845,1.12376,6.5845e-05,6.5845e-05,6.5845e-05
